"('cluster', '')",fim_count,fim_mean,fim_std,fim_median,conc_silica_count,conc_silica_mean,conc_silica_std,conc_silica_median,conc_fe_count,conc_fe_mean,conc_fe_std,conc_fe_median,param_dosagem_amido_count,param_dosagem_amido_mean,param_dosagem_amido_std,param_dosagem_amido_median,dosagem_amina_conc_magnetica_count,dosagem_amina_conc_magnetica_mean,dosagem_amina_conc_magnetica_std,dosagem_amina_conc_magnetica_median,ph_flotacao_linha01_count,ph_flotacao_linha01_mean,ph_flotacao_linha01_std,ph_flotacao_linha01_median,ph_flotacao_linha02_count,ph_flotacao_linha02_mean,ph_flotacao_linha02_std,ph_flotacao_linha02_median,densidade_alimentacao_flotacao_count,densidade_alimentacao_flotacao_mean,densidade_alimentacao_flotacao_std,densidade_alimentacao_flotacao_median,nivel_celula_li640101_count,nivel_celula_li640101_mean,nivel_celula_li640101_std,nivel_celula_li640101_median,TO_LI6401_02_count,TO_LI6401_02_mean,TO_LI6401_02_std,TO_LI6401_02_median,nivel_celula_li640201_count,nivel_celula_li640201_mean,nivel_celula_li640201_std,nivel_celula_li640201_median,nivel_celula_li640202_count,nivel_celula_li640202_mean,nivel_celula_li640202_std,nivel_celula_li640202_median,nivel_celula_li641101_count,nivel_celula_li641101_mean,nivel_celula_li641101_std,nivel_celula_li641101_median,nivel_celula_li641102_count,nivel_celula_li641102_mean,nivel_celula_li641102_std,nivel_celula_li641102_median,nivel_celula_li641201_count,nivel_celula_li641201_mean,nivel_celula_li641201_std,nivel_celula_li641201_median,nivel_celula_li641202_count,nivel_celula_li641202_mean,nivel_celula_li641202_std,nivel_celula_li641202_median,nivel_celula_li642101_count,nivel_celula_li642101_mean,nivel_celula_li642101_std,nivel_celula_li642101_median,nivel_celula_li642201_count,nivel_celula_li642201_mean,nivel_celula_li642201_std,nivel_celula_li642201_median,nivel_celula_li643101_count,nivel_celula_li643101_mean,nivel_celula_li643101_std,nivel_celula_li643101_median,nivel_celula_li643201_count,nivel_celula_li643201_mean,nivel_celula_li643201_std,nivel_celula_li643201_median,vazao_alimentacao_flotacao_count,vazao_alimentacao_flotacao_mean,vazao_alimentacao_flotacao_std,vazao_alimentacao_flotacao_median
-1,0,,,,404,4.037,4.36,2.32,404,63.669,3.022,64.44,404,488.885,11.525,490.005,404,139.863,30.73,145.075,404,8.57,1.83,9.11,404,8.847,0.895,9.17,404,1.402,0.198,1.43,404,279.546,120.093,342.22,404,278.086,97.318,274.865,404,240.934,149.155,328.555,404,206.605,152.989,254.765,404,253.257,109.592,228.17,404,192.864,118.619,135.035,404,168.318,154.071,144.59,404,100.061,134.451,9.535,404,215.442,151.458,268.76,404,228.817,156.339,263.465,404,173.966,151.513,154.545,404,151.841,141.328,134.615,404,588.556,279.633,619.515
0,0,,,,6084,1.883,0.977,1.64,6084,65.017,1.03,64.98,6084,493.898,4.871,493.85,6084,145.266,9.926,143.75,6084,9.441,0.199,9.49,6084,9.291,0.312,9.38,6084,1.602,0.093,1.63,6084,360.848,12.834,360.68,6084,349.862,36.786,360.36,6084,348.006,32.371,358.62,6084,345.607,42.47,359.46,6084,349.187,26.791,349.97,6084,301.585,94.327,349.16,6084,335.367,58.238,348.685,6084,162.766,138.809,160.705,6084,343.394,43.249,359.12,6084,350.031,43.463,357.62,6084,339.029,49.085,357.05,6084,276.167,65.323,287.405,6084,794.374,156.067,789.455
1,0,,,,2060,4.793,2.443,6.69,2060,63.729,1.313,62.86,2060,493.15,3.838,492.51,2060,159.493,14.867,170.0,2060,8.355,0.501,8.53,2060,7.844,0.471,7.75,2060,1.225,0.206,1.16,2060,149.919,96.33,173.74,2060,131.069,68.068,92.895,2060,69.21,82.16,55.26,2060,2.394,9.479,0.04,2060,190.094,42.704,218.025,2060,50.292,43.219,38.17,2060,7.859,17.126,0.675,2060,24.427,31.948,0.04,2060,25.493,45.248,2.965,2060,11.314,25.37,0.0,2060,10.865,39.64,0.0,2060,10.105,34.188,0.0,2060,43.972,74.386,6.78
2,0,,,,141,2.627,1.796,2.12,141,64.591,1.377,64.84,141,489.87,4.919,490.03,141,153.52,14.582,152.61,141,9.453,0.206,9.5,141,7.965,0.826,7.79,141,1.527,0.122,1.57,141,373.549,16.451,370.13,141,375.113,30.302,372.05,141,12.92,47.706,0.08,141,3.966,19.223,0.75,141,362.158,29.464,355.06,141,298.259,94.32,348.23,141,14.663,20.092,11.45,141,6.103,22.615,0.0,141,346.232,41.373,359.4,141,40.978,37.84,32.88,141,328.866,61.558,355.22,141,11.578,22.936,1.13,141,671.107,184.682,586.28
3,0,,,,94,1.262,0.459,1.18,94,65.601,0.673,65.58,94,493.964,4.194,496.46,94,136.956,5.328,136.835,94,7.864,0.651,7.37,94,9.487,0.09,9.5,94,1.581,0.092,1.63,94,275.047,61.622,283.785,94,216.456,29.315,220.3,94,358.206,18.934,363.75,94,357.985,20.134,361.87,94,141.876,30.05,145.75,94,61.933,43.981,54.815,94,341.547,52.148,349.955,94,284.837,101.835,330.945,94,25.594,54.238,6.96,94,364.535,34.513,365.27,94,12.255,26.611,0.075,94,299.882,54.113,315.675,94,599.969,98.559,572.41
