"('cluster', '')",fim_count,fim_mean,fim_std,fim_median,conc_silica_count,conc_silica_mean,conc_silica_std,conc_silica_median,conc_fe_count,conc_fe_mean,conc_fe_std,conc_fe_median,param_dosagem_amido_count,param_dosagem_amido_mean,param_dosagem_amido_std,param_dosagem_amido_median,dosagem_amina_conc_magnetica_count,dosagem_amina_conc_magnetica_mean,dosagem_amina_conc_magnetica_std,dosagem_amina_conc_magnetica_median,ph_flotacao_linha01_count,ph_flotacao_linha01_mean,ph_flotacao_linha01_std,ph_flotacao_linha01_median,ph_flotacao_linha02_count,ph_flotacao_linha02_mean,ph_flotacao_linha02_std,ph_flotacao_linha02_median,densidade_alimentacao_flotacao_count,densidade_alimentacao_flotacao_mean,densidade_alimentacao_flotacao_std,densidade_alimentacao_flotacao_median,nivel_celula_li640101_count,nivel_celula_li640101_mean,nivel_celula_li640101_std,nivel_celula_li640101_median,TO_LI6401_02_count,TO_LI6401_02_mean,TO_LI6401_02_std,TO_LI6401_02_median,nivel_celula_li640201_count,nivel_celula_li640201_mean,nivel_celula_li640201_std,nivel_celula_li640201_median,nivel_celula_li640202_count,nivel_celula_li640202_mean,nivel_celula_li640202_std,nivel_celula_li640202_median,nivel_celula_li641101_count,nivel_celula_li641101_mean,nivel_celula_li641101_std,nivel_celula_li641101_median,nivel_celula_li641102_count,nivel_celula_li641102_mean,nivel_celula_li641102_std,nivel_celula_li641102_median,nivel_celula_li641201_count,nivel_celula_li641201_mean,nivel_celula_li641201_std,nivel_celula_li641201_median,nivel_celula_li641202_count,nivel_celula_li641202_mean,nivel_celula_li641202_std,nivel_celula_li641202_median,nivel_celula_li642101_count,nivel_celula_li642101_mean,nivel_celula_li642101_std,nivel_celula_li642101_median,nivel_celula_li642201_count,nivel_celula_li642201_mean,nivel_celula_li642201_std,nivel_celula_li642201_median,nivel_celula_li643101_count,nivel_celula_li643101_mean,nivel_celula_li643101_std,nivel_celula_li643101_median,nivel_celula_li643201_count,nivel_celula_li643201_mean,nivel_celula_li643201_std,nivel_celula_li643201_median,vazao_alimentacao_flotacao_count,vazao_alimentacao_flotacao_mean,vazao_alimentacao_flotacao_std,vazao_alimentacao_flotacao_median
-1,0,,,,345,4.678,5.539,2.55,345,63.203,3.495,64.39,345,505.807,20.963,500.0,345,150.725,25.614,150.75,345,7.738,3.057,8.9,345,8.933,0.724,9.2,345,1.38,0.18,1.37,345,284.349,121.694,359.22,345,276.181,86.165,253.98,345,266.209,146.231,339.45,345,231.92,148.792,286.79,345,229.698,120.199,259.07,345,200.991,124.901,167.01,345,224.015,146.372,294.37,345,221.757,141.073,312.15,345,214.13,144.377,253.65,345,221.547,152.701,261.28,345,183.856,152.497,222.56,345,131.203,137.253,68.59,345,535.043,276.502,536.25
0,0,,,,3451,3.064,2.706,2.15,3451,64.32,1.811,64.65,3451,512.208,18.328,517.08,3451,152.516,13.532,149.56,3451,9.417,0.221,9.47,3451,9.336,0.207,9.36,3451,1.584,0.085,1.61,3451,368.082,11.527,369.86,3451,345.413,35.791,356.54,3451,342.735,42.193,358.73,3451,339.255,47.969,362.87,3451,346.828,20.61,349.57,3451,338.793,40.282,349.58,3451,337.955,41.086,349.41,3451,332.811,62.348,349.56,3451,353.119,27.319,359.93,3451,347.914,53.662,359.91,3451,344.914,36.135,358.97,3451,265.51,74.52,267.22,3451,779.614,140.099,766.65
1,0,,,,566,2.172,0.749,2.33,566,65.083,0.797,65.07,566,509.791,18.856,519.09,566,146.149,14.658,145.21,566,7.851,0.484,7.7,566,7.694,0.532,7.44,566,1.199,0.058,1.17,566,103.833,83.663,82.17,566,195.288,62.354,233.855,566,28.558,63.186,5.235,566,1.014,5.601,0.0,566,85.241,18.645,81.485,566,80.125,34.274,80.215,566,43.118,73.922,25.67,566,46.048,18.906,45.975,566,33.795,52.873,2.4,566,18.893,37.568,0.05,566,5.28,23.384,0.0,566,1.937,7.772,0.0,566,21.909,78.544,6.5
2,0,,,,30,2.197,0.717,2.14,30,64.859,0.416,64.83,30,516.723,9.342,520.0,30,156.163,9.11,157.765,30,9.433,0.18,9.49,30,7.933,0.409,8.16,30,1.542,0.091,1.57,30,371.171,10.635,369.46,30,368.144,27.487,369.545,30,16.088,40.719,3.175,30,1.161,5.803,0.055,30,350.768,19.194,347.545,30,347.16,11.744,349.51,30,21.274,20.161,8.38,30,35.335,36.272,34.105,30,356.02,8.728,358.66,30,8.32,15.359,1.63,30,339.599,33.465,356.725,30,4.257,4.978,2.31,30,612.99,78.645,616.5
