"('cluster', '')",fim_count,fim_mean,fim_std,fim_median,conc_silica_count,conc_silica_mean,conc_silica_std,conc_silica_median,conc_fe_count,conc_fe_mean,conc_fe_std,conc_fe_median,param_dosagem_amido_count,param_dosagem_amido_mean,param_dosagem_amido_std,param_dosagem_amido_median,dosagem_amina_conc_magnetica_count,dosagem_amina_conc_magnetica_mean,dosagem_amina_conc_magnetica_std,dosagem_amina_conc_magnetica_median,ph_flotacao_linha01_count,ph_flotacao_linha01_mean,ph_flotacao_linha01_std,ph_flotacao_linha01_median,ph_flotacao_linha02_count,ph_flotacao_linha02_mean,ph_flotacao_linha02_std,ph_flotacao_linha02_median,densidade_alimentacao_flotacao_count,densidade_alimentacao_flotacao_mean,densidade_alimentacao_flotacao_std,densidade_alimentacao_flotacao_median,nivel_celula_li640101_count,nivel_celula_li640101_mean,nivel_celula_li640101_std,nivel_celula_li640101_median,TO_LI6401_02_count,TO_LI6401_02_mean,TO_LI6401_02_std,TO_LI6401_02_median,nivel_celula_li640201_count,nivel_celula_li640201_mean,nivel_celula_li640201_std,nivel_celula_li640201_median,nivel_celula_li640202_count,nivel_celula_li640202_mean,nivel_celula_li640202_std,nivel_celula_li640202_median,nivel_celula_li641101_count,nivel_celula_li641101_mean,nivel_celula_li641101_std,nivel_celula_li641101_median,nivel_celula_li641102_count,nivel_celula_li641102_mean,nivel_celula_li641102_std,nivel_celula_li641102_median,nivel_celula_li641201_count,nivel_celula_li641201_mean,nivel_celula_li641201_std,nivel_celula_li641201_median,nivel_celula_li641202_count,nivel_celula_li641202_mean,nivel_celula_li641202_std,nivel_celula_li641202_median,nivel_celula_li642101_count,nivel_celula_li642101_mean,nivel_celula_li642101_std,nivel_celula_li642101_median,nivel_celula_li642201_count,nivel_celula_li642201_mean,nivel_celula_li642201_std,nivel_celula_li642201_median,nivel_celula_li643101_count,nivel_celula_li643101_mean,nivel_celula_li643101_std,nivel_celula_li643101_median,nivel_celula_li643201_count,nivel_celula_li643201_mean,nivel_celula_li643201_std,nivel_celula_li643201_median,vazao_alimentacao_flotacao_count,vazao_alimentacao_flotacao_mean,vazao_alimentacao_flotacao_std,vazao_alimentacao_flotacao_median
0,0,,,,243,3.091,1.98,2.55,243,64.219,1.46,64.4,243,513.293,17.905,519.95,243,156.892,15.93,159.09,243,8.835,1.396,9.17,243,8.815,0.802,9.03,243,1.396,0.162,1.41,243,313.7,89.658,361.88,243,289.949,65.732,271.68,243,249.655,150.326,321.77,243,209.887,147.053,232.65,243,249.059,109.083,286.97,243,218.65,116.087,241.24,243,206.882,144.112,244.51,243,212.803,144.139,281.09,243,232.851,135.288,295.36,243,196.464,144.216,205.39,243,191.317,144.98,248.54,243,91.447,113.857,17.47,243,551.522,172.185,534.7
1,0,,,,3208,2.417,1.246,2.0,3208,64.714,1.064,64.75,3208,512.494,18.365,517.815,3208,151.614,13.35,148.685,3208,9.349,0.813,9.47,3208,9.34,0.207,9.36,3208,1.582,0.087,1.61,3208,368.135,11.468,369.87,3208,345.653,37.752,357.455,3208,343.167,42.059,358.91,3208,339.856,47.289,362.715,3208,347.027,20.582,349.615,3208,338.804,42.175,349.6,3208,338.841,41.151,349.47,3208,333.66,60.896,349.59,3208,353.515,28.308,360.08,3208,348.555,53.403,360.375,3208,345.012,36.452,358.995,3208,266.445,74.734,267.295,3208,780.145,137.659,766.155
2,0,,,,318,11.458,4.691,9.955,318,59.151,2.961,60.04,318,506.308,17.383,508.5,318,161.708,11.998,169.975,318,9.388,0.292,9.47,318,9.305,0.243,9.33,318,1.582,0.085,1.61,318,365.166,35.819,369.835,318,339.127,39.525,351.19,318,342.633,45.979,362.345,318,339.164,51.123,365.46,318,338.134,46.524,349.065,318,324.353,63.051,348.775,318,325.299,58.377,348.185,318,313.528,90.189,348.995,318,343.18,48.729,358.045,318,347.555,51.768,358.735,318,340.248,51.663,357.09,318,265.494,71.093,275.13,318,787.352,153.969,776.355
3,0,,,,623,2.145,0.734,2.33,623,65.065,0.783,65.07,623,507.801,20.161,511.99,623,144.161,20.028,145.21,623,7.655,1.406,7.7,623,7.749,0.548,7.55,623,1.199,0.065,1.17,623,104.219,85.826,82.57,623,195.384,66.161,235.12,623,33.328,73.192,5.24,623,3.654,20.541,0.0,623,86.048,27.416,81.79,623,82.057,43.787,79.91,623,44.768,76.761,25.62,623,48.743,29.979,46.95,623,36.127,53.877,3.13,623,18.618,36.799,0.19,623,8.695,34.141,0.0,623,2.179,8.804,0.0,623,30.054,97.795,6.5
