Modelo,MSE,R²,MAPE
RandomForest,1.2959444849182653,0.7740668238877636,0.174102141857714
XGBoost,1.212974666837595,0.7885316676666255,0.23832534740806674
GradientBoosting,2.1897149156618463,0.6182481183157926,0.3266517614631861
