,inicio,fim,conc_silica,conc_fe,param_dosagem_amido,dosagem_amina_conc_magnetica,ph_flotacao_linha01,ph_flotacao_linha02,densidade_alimentacao_flotacao,nivel_celula_li640101,TO_LI6401_02,nivel_celula_li640201,nivel_celula_li640202,nivel_celula_li641101,nivel_celula_li641102,nivel_celula_li641201,nivel_celula_li641202,nivel_celula_li642101,nivel_celula_li642201,nivel_celula_li643101,nivel_celula_li643201,vazao_alimentacao_flotacao,operacao,inicio_dt,mudou,tempo_entre_mudancas,fora_do_esperado
302,2024-03-03 11:00:00.000,2024-03-03 11:20:00.000,2.41,63.35,494.62,149.81,9.49,9.48,1.64,370.76,370.99,377.14,366.0,351.25,350.35,340.8,183.36,359.61,365.19,359.56,319.27,769.79,True,2024-03-03 11:00:00.000,True,0 days 02:00:00,False
303,2024-03-03 13:00:00.000,2024-03-03 13:20:00.000,1.81,64.41,494.2,145.89,9.08,8.53,1.31,341.62,261.96,200.11,219.14,285.14,333.69,270.44,73.93,363.69,259.56,364.64,217.0,300.49,True,2024-03-03 13:00:00.000,True,0 days 02:00:00,False
304,2024-03-03 15:00:00.000,2024-03-03 15:20:00.000,1.39,64.95,496.63,144.02,9.49,9.47,1.64,370.14,369.02,359.04,363.13,349.8,349.99,346.22,261.22,360.36,363.22,401.18,336.97,737.44,True,2024-03-03 15:00:00.000,True,0 days 02:00:00,False
305,2024-03-03 17:00:00.000,2024-03-03 17:20:00.000,1.42,64.68,499.29,135.0,9.5,9.49,1.65,371.28,370.65,373.64,370.43,350.12,350.07,352.55,161.93,359.75,362.72,359.72,312.46,711.13,True,2024-03-03 17:00:00.000,True,0 days 02:00:00,False
306,2024-03-03 19:00:00.000,2024-03-03 19:20:00.000,1.96,64.32,497.7,135.0,9.48,9.46,1.64,370.8,371.6,371.84,372.44,355.31,350.39,352.21,338.75,361.56,364.74,351.67,281.85,919.09,True,2024-03-03 19:00:00.000,True,0 days 02:00:00,False
307,2024-03-03 21:00:00.000,2024-03-03 21:20:00.000,2.1,64.64,497.7,148.42,9.5,9.48,1.64,370.44,369.6,369.69,369.38,347.17,349.31,347.06,350.07,357.32,358.99,306.07,281.55,1032.25,True,2024-03-03 21:00:00.000,True,0 days 02:00:00,False
308,2024-03-03 23:00:00.000,2024-03-03 23:20:00.000,2.49,64.14,497.2,152.05,9.54,9.52,1.64,369.99,369.61,370.37,372.73,353.83,351.31,354.4,232.89,358.95,353.8,323.71,278.56,840.31,True,2024-03-03 23:00:00.000,True,0 days 02:00:00,False
309,2024-03-04 01:00:00.000,2024-03-04 01:20:00.000,2.24,64.07,486.16,143.75,9.51,9.47,1.63,370.69,370.93,369.66,369.82,352.54,349.58,364.36,337.27,356.2,364.38,361.44,330.05,946.75,True,2024-03-04 01:00:00.000,True,0 days 02:00:00,False
310,2024-03-04 03:00:00.000,2024-03-04 03:20:00.000,2.12,64.43,486.16,148.41,9.54,9.42,1.35,371.93,384.45,364.36,315.76,385.9,349.72,348.95,1.46,359.38,368.64,359.2,224.61,498.7,True,2024-03-04 03:00:00.000,True,0 days 02:00:00,False
312,2024-03-04 09:00:00.000,2024-03-04 09:20:00.000,1.4,64.62,490.0,148.59,9.39,9.52,1.62,369.33,372.75,373.97,374.46,356.66,351.35,356.15,289.71,358.69,362.64,360.36,317.1,862.02,True,2024-03-04 09:00:00.000,True,0 days 02:00:00,False
313,2024-03-04 11:00:00.000,2024-03-04 11:20:00.000,2.01,64.04,490.0,137.12,9.4,9.5,1.62,369.85,369.71,370.57,370.75,351.07,350.59,347.03,340.28,360.3,359.11,360.28,344.45,852.15,True,2024-03-04 11:00:00.000,True,0 days 02:00:00,False
314,2024-03-04 13:00:00.000,2024-03-04 13:20:00.000,2.08,64.44,490.0,147.79,9.4,9.49,1.62,370.26,370.29,371.1,369.98,349.54,349.33,350.77,349.82,359.51,361.66,358.52,354.14,886.11,True,2024-03-04 13:00:00.000,True,0 days 02:00:00,False
317,2024-03-05 07:00:00.000,2024-03-05 07:20:00.000,2.29,64.61,493.36,144.04,9.42,9.52,1.63,370.79,371.43,375.91,366.14,356.41,348.98,352.32,109.78,359.45,356.86,360.85,253.51,864.7,True,2024-03-05 07:00:00.000,True,0 days 02:00:00,False
318,2024-03-05 09:00:00.000,2024-03-05 09:20:00.000,2.49,65.68,493.5,146.03,9.26,9.38,1.2,372.46,388.43,377.49,380.48,363.1,351.13,366.17,114.28,375.09,394.73,354.71,275.99,729.04,True,2024-03-05 09:00:00.000,True,0 days 02:00:00,False
319,2024-03-05 11:00:00.000,2024-03-05 11:20:00.000,1.17,65.01,493.5,143.81,9.39,9.48,1.64,370.66,369.57,348.53,319.67,350.44,352.58,349.59,76.46,360.54,366.23,359.78,358.71,787.03,True,2024-03-05 11:00:00.000,True,0 days 02:00:00,False
320,2024-03-05 13:00:00.000,2024-03-05 13:20:00.000,1.18,64.13,493.5,140.32,9.46,9.51,1.63,371.08,370.67,368.83,369.34,348.74,349.35,348.41,149.06,359.54,359.81,359.67,333.07,831.04,True,2024-03-05 13:00:00.000,True,0 days 02:00:00,False
321,2024-03-05 15:00:00.000,2024-03-05 15:20:00.000,1.24,64.88,495.09,135.0,9.38,9.47,1.64,370.3,378.01,299.39,280.77,351.92,351.41,351.61,0.0,360.51,308.54,360.59,359.9,648.32,True,2024-03-05 15:00:00.000,True,0 days 02:00:00,False
323,2024-03-05 23:00:00.000,2024-03-05 23:20:00.000,2.09,63.9,498.5,142.34,9.61,9.55,1.27,369.93,372.42,376.31,374.65,352.44,349.51,376.26,362.15,359.92,372.15,309.74,329.46,499.99,True,2024-03-05 23:00:00.000,True,0 days 02:00:00,False
326,2024-03-07 07:00:00.000,2024-03-07 07:20:00.000,0.98,65.3,493.17,150.0,9.45,9.5,1.63,369.59,370.8,332.8,349.11,350.57,349.91,350.39,323.62,360.33,344.88,358.92,315.38,823.5,True,2024-03-07 07:00:00.000,True,0 days 02:00:00,False
327,2024-03-07 09:00:00.000,2024-03-07 09:20:00.000,0.65,65.42,493.17,150.0,9.41,9.47,1.64,370.93,372.0,342.68,332.75,351.64,349.29,350.45,154.85,360.12,365.55,361.07,307.53,924.23,True,2024-03-07 09:00:00.000,True,0 days 02:00:00,False
328,2024-03-07 11:00:00.000,2024-03-07 11:20:00.000,0.68,65.28,493.17,150.0,9.47,9.49,1.63,370.21,363.34,354.25,360.34,348.66,345.45,347.25,346.74,361.29,364.14,359.2,334.15,1035.65,True,2024-03-07 11:00:00.000,True,0 days 02:00:00,False
329,2024-03-07 13:00:00.000,2024-03-07 13:20:00.000,0.94,65.11,493.17,150.0,9.73,9.71,1.44,373.09,334.49,261.54,320.65,348.61,345.02,344.32,57.51,356.93,335.39,359.42,277.85,501.64,True,2024-03-07 13:00:00.000,True,0 days 02:00:00,False
331,2024-03-07 19:00:00.000,2024-03-07 19:20:00.000,1.44,65.03,490.98,150.0,9.51,9.51,1.64,369.92,331.46,303.67,331.63,344.69,344.32,303.74,178.77,359.67,297.54,360.74,222.51,711.53,True,2024-03-07 19:00:00.000,True,0 days 02:00:00,False
332,2024-03-07 21:00:00.000,2024-03-07 21:20:00.000,1.21,64.77,490.98,148.3,9.46,9.45,1.65,369.83,319.96,319.52,347.3,344.12,344.5,304.55,164.19,360.03,300.46,359.68,221.85,746.11,True,2024-03-07 21:00:00.000,True,0 days 02:00:00,False
333,2024-03-07 23:00:00.000,2024-03-07 23:20:00.000,1.89,64.83,495.33,137.45,9.47,9.46,1.64,369.2,319.52,340.54,358.64,344.81,344.84,299.71,309.62,360.77,302.54,359.79,212.73,832.97,True,2024-03-07 23:00:00.000,True,0 days 02:00:00,False
335,2024-03-08 07:00:00.000,2024-03-08 07:20:00.000,3.6,64.17,490.83,143.75,9.48,7.04,1.63,369.64,359.11,0.5,0.29,340.94,344.81,9.96,2.32,359.62,75.46,371.65,1.08,564.88,True,2024-03-08 07:00:00.000,True,0 days 02:00:00,False
336,2024-03-08 09:00:00.000,2024-03-08 09:20:00.000,1.63,64.41,490.83,158.3,9.55,7.01,1.28,371.08,403.38,0.1,0.21,356.49,349.23,7.75,1.3,363.17,56.98,352.98,0.0,508.77,True,2024-03-08 09:00:00.000,True,0 days 02:00:00,False
337,2024-03-08 11:00:00.000,2024-03-08 11:20:00.000,1.5,64.72,490.0,142.43,9.27,6.96,1.16,358.78,270.93,0.0,0.5,189.23,236.87,8.82,0.28,191.8,26.08,187.17,0.25,514.12,True,2024-03-08 11:00:00.000,True,0 days 02:00:00,False
339,2024-03-08 17:00:00.000,2024-03-08 17:20:00.000,0.88,65.09,490.0,135.0,9.48,9.41,1.62,363.35,353.89,359.52,257.3,348.15,347.68,350.21,166.93,359.42,367.55,358.81,309.18,856.8,True,2024-03-08 17:00:00.000,True,0 days 02:00:00,False
340,2024-03-08 19:00:00.000,2024-03-08 19:20:00.000,0.92,65.43,490.0,135.0,9.49,9.44,1.62,371.31,367.55,299.59,229.13,351.37,350.35,350.91,2.07,360.4,365.79,357.12,307.01,690.97,True,2024-03-08 19:00:00.000,True,0 days 02:00:00,False
341,2024-03-08 21:00:00.000,2024-03-08 21:20:00.000,1.29,64.89,490.0,135.0,9.52,9.45,1.62,358.21,361.33,331.7,264.27,342.03,349.54,303.29,2.64,347.32,362.59,234.32,313.04,688.38,True,2024-03-08 21:00:00.000,True,0 days 02:00:00,False
342,2024-03-08 23:00:00.000,2024-03-08 23:20:00.000,2.2,64.13,490.0,135.24,9.52,9.46,1.62,358.62,369.15,341.54,360.91,348.66,349.8,350.06,3.13,360.94,357.38,268.03,331.02,645.09,True,2024-03-08 23:00:00.000,True,0 days 02:00:00,False
343,2024-03-09 01:00:00.000,2024-03-09 01:20:00.000,2.12,64.19,490.0,149.58,9.52,9.44,1.62,361.33,370.6,363.68,362.6,349.45,349.7,353.78,45.46,360.76,360.16,384.38,329.53,709.27,True,2024-03-09 01:00:00.000,True,0 days 02:00:00,False
344,2024-03-09 03:00:00.000,2024-03-09 03:20:00.000,1.18,66.12,490.0,151.92,9.54,9.46,1.62,359.15,368.1,352.61,358.44,349.48,350.2,348.03,127.78,359.37,350.23,383.28,322.77,604.54,True,2024-03-09 03:00:00.000,True,0 days 02:00:00,False
345,2024-03-09 05:00:00.000,2024-03-09 05:20:00.000,1.29,64.72,490.0,135.0,9.5,9.39,1.63,360.95,355.25,362.98,361.1,348.19,349.7,351.69,0.16,360.84,362.05,386.57,335.17,717.04,True,2024-03-09 05:00:00.000,True,0 days 02:00:00,False
346,2024-03-09 07:00:00.000,2024-03-09 07:20:00.000,1.74,64.54,481.59,135.0,9.51,9.42,1.63,359.62,363.34,364.0,360.07,350.0,349.91,352.18,55.37,360.87,360.27,381.49,323.9,667.21,True,2024-03-09 07:00:00.000,True,0 days 02:00:00,False
347,2024-03-09 09:00:00.000,2024-03-09 09:20:00.000,2.02,64.25,481.59,135.0,9.48,9.4,1.63,360.27,332.48,347.95,356.81,343.75,348.43,330.3,157.65,357.81,352.21,393.37,336.86,894.47,True,2024-03-09 09:00:00.000,True,0 days 02:00:00,False
348,2024-03-09 11:00:00.000,2024-03-09 11:20:00.000,1.59,65.74,481.59,149.89,9.47,9.4,1.63,359.55,370.68,315.21,359.98,349.36,349.81,348.23,345.31,360.89,372.36,374.35,298.7,594.04,True,2024-03-09 11:00:00.000,True,0 days 02:00:00,False
349,2024-03-09 13:00:00.000,2024-03-09 13:20:00.000,1.27,65.26,489.03,140.51,9.48,9.39,1.63,360.49,372.85,324.46,359.48,352.58,350.55,351.17,351.35,361.1,344.92,377.49,278.34,604.17,True,2024-03-09 13:00:00.000,True,0 days 02:00:00,False
350,2024-03-09 15:00:00.000,2024-03-09 15:20:00.000,1.22,64.77,490.0,135.01,9.65,9.59,1.52,360.7,337.25,274.88,354.9,346.83,351.6,345.94,342.46,359.47,316.5,382.19,277.9,509.45,True,2024-03-09 15:00:00.000,True,0 days 02:00:00,False
352,2024-03-10 01:00:00.000,2024-03-10 01:20:00.000,1.37,65.87,490.0,144.04,9.5,9.45,1.63,360.54,369.36,359.5,306.82,352.85,350.52,353.29,45.83,358.47,372.25,403.52,341.36,801.35,True,2024-03-10 01:00:00.000,True,0 days 02:00:00,False
353,2024-03-10 03:00:00.000,2024-03-10 03:20:00.000,1.42,65.72,494.27,135.0,9.51,9.45,1.64,359.85,359.54,360.5,362.16,348.09,349.98,350.83,347.73,360.14,359.13,402.52,330.31,825.7,True,2024-03-10 03:00:00.000,True,0 days 02:00:00,False
354,2024-03-10 05:00:00.000,2024-03-10 05:20:00.000,1.58,65.08,494.11,135.0,9.33,9.28,1.64,356.84,344.48,356.45,349.79,359.62,350.56,371.43,92.45,354.33,386.91,392.84,331.93,721.32,True,2024-03-10 05:00:00.000,True,0 days 02:00:00,False
355,2024-03-10 07:00:00.000,2024-03-10 07:20:00.000,2.69,64.66,490.0,137.33,9.59,9.52,1.61,358.71,319.65,335.93,295.12,345.87,348.56,339.41,24.3,358.61,336.27,385.19,321.15,580.31,True,2024-03-10 07:00:00.000,True,0 days 02:00:00,False
356,2024-03-10 09:00:00.000,2024-03-10 09:20:00.000,1.8,65.29,490.0,143.73,9.54,9.46,1.62,361.1,370.71,363.39,296.65,352.51,350.84,304.56,0.27,361.23,349.83,349.22,290.6,694.95,True,2024-03-10 09:00:00.000,True,0 days 02:00:00,False
357,2024-03-10 11:00:00.000,2024-03-10 11:20:00.000,2.15,64.88,495.36,143.75,9.5,9.42,1.65,360.51,371.38,362.85,362.19,350.48,349.6,310.3,72.82,359.74,356.39,359.57,258.03,768.76,True,2024-03-10 11:00:00.000,True,0 days 02:00:00,False
358,2024-03-10 13:00:00.000,2024-03-10 13:20:00.000,1.6,65.05,495.38,151.04,9.52,9.42,1.64,359.92,370.03,362.17,362.03,351.05,350.01,336.42,85.71,360.03,354.95,360.89,271.91,752.91,True,2024-03-10 13:00:00.000,True,0 days 02:00:00,False
359,2024-03-10 15:00:00.000,2024-03-10 15:20:00.000,1.4,65.26,495.58,137.34,8.83,8.76,1.6,364.08,332.76,351.66,302.17,348.85,350.69,334.23,39.41,367.81,348.7,362.41,255.44,644.9,True,2024-03-10 15:00:00.000,True,0 days 02:00:00,False
360,2024-03-10 17:00:00.000,2024-03-10 17:20:00.000,1.74,64.89,495.6,135.0,9.47,9.1,1.64,359.36,362.73,337.73,351.85,343.34,338.5,327.86,149.41,360.65,341.57,360.36,291.01,744.05,True,2024-03-10 17:00:00.000,True,0 days 02:00:00,False
361,2024-03-10 19:00:00.000,2024-03-10 19:20:00.000,2.01,64.99,494.45,142.0,9.48,9.06,1.64,358.62,367.74,356.96,360.33,343.48,339.92,352.1,146.8,359.95,370.96,359.57,255.43,738.87,True,2024-03-10 19:00:00.000,True,0 days 02:00:00,False
362,2024-03-10 21:00:00.000,2024-03-10 21:20:00.000,2.51,65.14,494.45,149.88,9.47,9.47,1.65,357.38,371.27,352.22,362.92,349.59,340.63,363.17,177.0,361.58,356.72,361.7,324.12,821.73,True,2024-03-10 21:00:00.000,True,0 days 02:00:00,False
363,2024-03-10 23:00:00.000,2024-03-10 23:20:00.000,1.39,65.5,490.38,143.78,9.5,9.49,1.63,360.02,369.58,356.02,357.19,341.48,339.64,345.52,121.73,360.35,338.67,362.63,304.05,611.76,True,2024-03-10 23:00:00.000,True,0 days 02:00:00,False
364,2024-03-11 01:00:00.000,2024-03-11 01:20:00.000,1.43,65.25,490.38,135.0,9.49,9.45,1.63,359.75,358.48,352.8,271.01,347.53,341.13,330.71,3.89,361.81,328.72,359.78,313.21,548.14,True,2024-03-11 01:00:00.000,True,0 days 02:00:00,False
365,2024-03-11 03:00:00.000,2024-03-11 03:20:00.000,1.08,66.14,492.77,135.0,9.51,9.44,1.64,359.43,320.0,339.3,325.51,345.19,340.48,300.15,14.82,357.71,293.58,360.38,263.86,809.34,True,2024-03-11 03:00:00.000,True,0 days 02:00:00,False
366,2024-03-11 05:00:00.000,2024-03-11 05:20:00.000,1.6,65.2,492.77,135.0,9.51,9.42,1.63,359.08,343.49,338.7,168.41,344.15,340.36,325.45,43.7,360.17,241.73,360.51,171.9,725.54,True,2024-03-11 05:00:00.000,True,0 days 02:00:00,False
367,2024-03-11 07:00:00.000,2024-03-11 07:20:00.000,2.65,63.71,492.75,137.92,9.54,9.47,1.5,364.25,371.61,343.83,344.76,347.51,341.02,320.01,4.23,359.06,282.66,353.36,196.51,506.68,True,2024-03-11 07:00:00.000,True,0 days 02:00:00,False
368,2024-03-11 09:00:00.000,2024-03-11 09:20:00.000,3.14,64.07,492.75,143.33,9.54,9.45,1.64,361.72,297.43,340.76,232.8,343.54,341.15,309.32,2.61,359.5,325.17,281.31,240.61,706.94,True,2024-03-11 09:00:00.000,True,0 days 02:00:00,False
369,2024-03-11 11:00:00.000,2024-03-11 11:20:00.000,2.11,64.56,490.47,165.63,9.48,9.38,1.63,360.68,370.36,359.13,362.04,347.16,340.48,352.64,254.97,355.72,355.62,358.87,299.5,824.53,True,2024-03-11 11:00:00.000,True,0 days 02:00:00,False
370,2024-03-11 13:00:00.000,2024-03-11 13:20:00.000,2.24,64.38,490.0,152.21,9.49,9.39,1.63,360.15,370.43,354.21,360.3,346.75,340.49,351.73,161.55,360.22,346.31,359.42,297.36,801.97,True,2024-03-11 13:00:00.000,True,0 days 02:00:00,False
371,2024-03-11 15:00:00.000,2024-03-11 15:20:00.000,3.06,64.1,490.0,148.53,9.52,9.39,1.61,360.81,371.47,348.9,358.44,342.91,340.18,347.48,75.43,359.63,362.26,360.55,295.85,764.74,True,2024-03-11 15:00:00.000,True,0 days 02:00:00,False
372,2024-03-11 17:00:00.000,2024-03-11 17:20:00.000,1.9,64.84,490.1,165.23,9.25,9.16,1.57,358.99,324.24,338.21,324.84,331.58,347.54,338.96,120.65,354.72,327.22,358.89,319.36,636.08,True,2024-03-11 17:00:00.000,True,0 days 02:00:00,False
373,2024-03-11 19:00:00.000,2024-03-11 19:20:00.000,2.28,64.29,492.38,146.67,9.54,9.44,1.63,359.89,348.72,357.56,347.31,339.85,348.33,319.07,191.4,362.84,345.55,360.03,335.33,738.95,True,2024-03-11 19:00:00.000,True,0 days 02:00:00,False
374,2024-03-11 21:00:00.000,2024-03-11 21:20:00.000,2.18,64.82,492.38,146.7,9.51,9.41,1.63,359.3,369.58,350.38,357.93,349.22,349.72,348.21,212.48,359.67,338.4,360.86,332.09,705.83,True,2024-03-11 21:00:00.000,True,0 days 02:00:00,False
375,2024-03-11 23:00:00.000,2024-03-11 23:20:00.000,3.24,64.06,490.45,153.39,9.54,9.44,1.63,361.11,372.18,362.75,348.84,352.71,350.96,349.39,138.09,360.16,336.25,360.01,316.18,629.02,True,2024-03-11 23:00:00.000,True,0 days 02:00:00,False
376,2024-03-12 01:00:00.000,2024-03-12 01:20:00.000,2.65,64.46,492.83,170.0,9.45,9.35,1.64,361.34,370.26,364.59,338.95,349.56,349.86,337.26,306.21,358.87,339.42,361.58,338.21,733.78,True,2024-03-12 01:00:00.000,True,0 days 02:00:00,False
377,2024-03-12 03:00:00.000,2024-03-12 03:20:00.000,1.7,64.93,492.83,144.92,9.03,8.94,1.63,360.61,358.14,361.07,334.81,349.74,349.16,352.99,194.14,358.84,347.03,359.02,324.82,683.58,True,2024-03-12 03:00:00.000,True,0 days 02:00:00,False
378,2024-03-12 05:00:00.000,2024-03-12 05:20:00.000,1.28,65.55,490.15,140.83,9.5,9.41,1.62,359.95,352.19,344.07,349.03,346.91,348.83,355.8,153.94,358.69,364.77,360.9,347.21,788.84,True,2024-03-12 05:00:00.000,True,0 days 02:00:00,False
379,2024-03-12 07:00:00.000,2024-03-12 07:20:00.000,1.41,65.89,491.17,135.0,9.09,9.13,1.59,361.03,328.57,355.95,315.33,350.87,350.36,335.17,224.32,360.95,329.78,359.56,308.5,561.94,True,2024-03-12 07:00:00.000,True,0 days 02:00:00,False
380,2024-03-12 09:00:00.000,2024-03-12 09:20:00.000,1.96,65.93,491.17,135.0,9.4,9.43,1.63,359.43,360.08,342.85,319.82,346.42,348.11,336.94,282.78,355.92,367.22,361.7,348.1,759.96,True,2024-03-12 09:00:00.000,True,0 days 02:00:00,False
381,2024-03-12 11:00:00.000,2024-03-12 11:20:00.000,2.13,64.83,491.17,146.44,9.46,9.47,1.63,361.02,367.15,366.26,354.57,352.53,348.79,358.12,53.93,358.76,361.66,360.5,305.25,766.24,True,2024-03-12 11:00:00.000,True,0 days 02:00:00,False
382,2024-03-12 13:00:00.000,2024-03-12 13:20:00.000,2.29,65.27,491.17,151.62,9.46,9.47,1.62,358.73,365.13,352.82,349.46,343.16,348.27,331.14,245.6,356.49,371.85,359.23,323.91,848.39,True,2024-03-12 13:00:00.000,True,0 days 02:00:00,False
383,2024-03-12 15:00:00.000,2024-03-12 15:20:00.000,1.51,65.88,491.17,146.97,9.52,9.53,1.52,357.19,330.01,332.64,311.96,338.02,347.33,343.95,264.08,355.72,354.3,359.19,308.16,691.8,True,2024-03-12 15:00:00.000,True,0 days 02:00:00,False
385,2024-03-13 01:00:00.000,2024-03-13 01:20:00.000,1.93,66.4,490.0,146.38,9.66,9.68,1.6,360.73,265.2,282.81,212.38,338.96,350.05,300.65,226.06,358.74,212.32,360.09,253.13,546.78,True,2024-03-13 01:00:00.000,True,0 days 02:00:00,False
387,2024-03-13 09:00:00.000,2024-03-13 09:20:00.000,1.29,66.26,490.0,136.86,9.52,9.48,1.63,360.96,361.42,361.51,360.45,351.47,349.83,351.05,298.55,359.88,343.75,359.13,281.39,880.52,True,2024-03-13 09:00:00.000,True,0 days 02:00:00,False
388,2024-03-13 11:00:00.000,2024-03-13 11:20:00.000,2.36,65.86,490.0,135.16,9.39,9.36,1.64,360.73,359.83,360.9,358.69,347.82,348.98,355.09,236.17,359.97,325.4,359.37,248.74,780.52,True,2024-03-13 11:00:00.000,True,0 days 02:00:00,False
390,2024-03-13 17:00:00.000,2024-03-13 17:20:00.000,1.89,65.1,490.0,146.67,9.51,9.44,1.62,360.76,358.97,358.61,358.6,346.2,348.27,392.11,349.79,359.06,368.27,359.44,351.88,1017.57,True,2024-03-13 17:00:00.000,True,0 days 02:00:00,False
391,2024-03-13 19:00:00.000,2024-03-13 19:20:00.000,1.78,65.39,490.0,146.38,9.49,9.45,1.62,360.71,361.06,360.33,358.55,349.88,349.58,359.46,354.73,359.6,345.3,360.2,332.44,902.17,True,2024-03-13 19:00:00.000,True,0 days 02:00:00,False
392,2024-03-13 21:00:00.000,2024-03-13 21:20:00.000,1.24,65.72,490.0,143.17,9.43,9.39,1.62,359.97,360.35,358.56,356.59,346.75,348.61,377.63,360.97,361.72,336.46,359.57,332.89,788.26,True,2024-03-13 21:00:00.000,True,0 days 02:00:00,False
393,2024-03-13 23:00:00.000,2024-03-13 23:20:00.000,1.85,65.76,495.09,135.74,9.47,9.41,1.63,361.59,360.42,356.28,358.89,348.96,349.38,337.22,345.28,358.8,322.9,360.53,339.0,630.26,True,2024-03-13 23:00:00.000,True,0 days 02:00:00,False
394,2024-03-14 01:00:00.000,2024-03-14 01:20:00.000,1.95,65.25,495.17,145.21,9.51,9.43,1.62,362.59,350.41,362.82,360.5,348.46,347.71,358.0,354.43,360.73,281.27,359.4,327.4,738.56,True,2024-03-14 01:00:00.000,True,0 days 02:00:00,False
395,2024-03-14 03:00:00.000,2024-03-14 03:20:00.000,2.55,64.87,490.0,147.77,9.51,9.43,1.62,361.0,362.33,358.51,362.62,353.66,350.63,350.49,345.88,359.17,294.68,360.89,338.17,747.51,True,2024-03-14 03:00:00.000,True,0 days 02:00:00,False
396,2024-03-14 05:00:00.000,2024-03-14 05:20:00.000,2.64,64.78,490.0,143.75,9.69,9.62,1.5,364.98,356.03,326.27,360.02,356.05,350.29,354.53,344.93,241.07,239.49,360.6,307.94,505.24,True,2024-03-14 05:00:00.000,True,0 days 02:00:00,False
398,2024-03-14 11:00:00.000,2024-03-14 11:20:00.000,2.09,64.65,495.58,144.08,9.42,9.35,1.65,367.44,371.64,341.87,337.03,356.28,351.58,353.62,67.52,364.74,359.45,352.95,273.16,920.02,True,2024-03-14 11:00:00.000,True,0 days 02:00:00,False
399,2024-03-14 13:00:00.000,2024-03-14 13:20:00.000,2.42,65.02,495.58,152.21,9.48,9.39,1.64,361.61,360.39,367.4,361.25,354.05,350.2,359.99,205.02,360.55,339.96,359.99,328.54,844.26,True,2024-03-14 13:00:00.000,True,0 days 02:00:00,False
400,2024-03-14 15:00:00.000,2024-03-14 15:20:00.000,2.39,64.57,498.21,143.83,9.51,9.4,1.64,362.04,360.63,354.76,359.27,350.7,349.97,341.84,166.38,359.35,338.43,360.12,327.05,830.42,True,2024-03-14 15:00:00.000,True,0 days 02:00:00,False
401,2024-03-14 17:00:00.000,2024-03-14 17:20:00.000,2.67,64.49,498.21,144.04,9.56,9.46,1.65,358.11,358.77,359.74,359.63,349.07,348.84,352.51,270.53,358.6,348.23,360.1,331.26,889.29,True,2024-03-14 17:00:00.000,True,0 days 02:00:00,False
402,2024-03-14 19:00:00.000,2024-03-14 19:20:00.000,2.08,64.99,494.52,143.75,9.41,9.34,1.65,360.72,360.13,360.7,360.45,348.56,349.6,349.85,267.42,362.03,330.54,360.24,291.22,777.98,True,2024-03-14 19:00:00.000,True,0 days 02:00:00,False
403,2024-03-14 21:00:00.000,2024-03-14 21:20:00.000,1.48,65.64,494.52,151.92,9.49,9.4,1.64,360.67,358.93,358.08,359.82,345.99,347.67,348.21,265.26,358.62,319.9,360.55,333.82,823.65,True,2024-03-14 21:00:00.000,True,0 days 02:00:00,False
404,2024-03-14 23:00:00.000,2024-03-14 23:20:00.000,2.15,64.89,490.87,137.94,9.41,9.32,1.64,357.45,364.64,357.13,359.15,365.58,350.22,369.94,293.45,357.01,342.76,357.45,281.26,893.84,True,2024-03-14 23:00:00.000,True,0 days 02:00:00,False
405,2024-03-15 01:00:00.000,2024-03-15 01:20:00.000,3.23,64.62,490.0,151.04,9.64,9.55,1.6,360.45,365.25,342.07,367.39,350.46,348.81,127.26,91.68,356.63,325.51,359.84,312.4,594.1,True,2024-03-15 01:00:00.000,True,0 days 02:00:00,False
407,2024-03-15 11:00:00.000,2024-03-15 11:20:00.000,1.66,65.69,491.12,168.41,8.93,8.85,1.65,359.51,369.12,369.89,369.58,352.88,350.35,349.42,337.48,361.3,364.49,360.41,320.77,1045.7,True,2024-03-15 11:00:00.000,True,0 days 02:00:00,False
408,2024-03-15 13:00:00.000,2024-03-15 13:20:00.000,2.12,65.47,491.12,139.67,9.78,9.6,1.36,362.06,371.23,323.66,372.25,353.82,351.69,340.74,173.22,356.03,285.35,358.61,263.6,516.29,True,2024-03-15 13:00:00.000,True,0 days 02:00:00,False
409,2024-03-15 15:00:00.000,2024-03-15 15:20:00.000,1.93,65.69,490.2,151.43,9.52,9.33,1.63,362.53,369.96,369.79,371.53,345.47,346.27,343.15,346.08,357.69,372.98,358.6,333.31,889.09,True,2024-03-15 15:00:00.000,True,0 days 02:00:00,False
410,2024-03-15 17:00:00.000,2024-03-15 17:20:00.000,3.19,65.08,490.92,149.44,9.6,9.43,1.62,360.38,366.78,342.85,372.37,350.49,349.75,342.68,149.39,358.93,336.46,356.33,284.79,624.65,True,2024-03-15 17:00:00.000,True,0 days 02:00:00,False
411,2024-03-15 19:00:00.000,2024-03-15 19:20:00.000,3.31,65.08,497.77,170.0,9.57,9.38,1.65,359.76,370.55,378.48,371.34,353.19,350.24,354.98,349.21,360.38,358.13,359.46,277.76,917.17,True,2024-03-15 19:00:00.000,True,0 days 02:00:00,False
412,2024-03-15 21:00:00.000,2024-03-15 21:20:00.000,3.0,65.37,497.77,170.0,9.41,9.21,1.49,361.9,387.61,372.87,378.32,353.68,351.25,357.08,339.77,364.04,368.82,360.85,288.7,1032.48,True,2024-03-15 21:00:00.000,True,0 days 02:00:00,False
