iter	Passed	Remaining
401	18113	17933
402	18158	17888
403	18203	17842
404	18247	17796
405	18290	17749
406	18332	17702
407	18378	17658
408	18422	17612
409	18471	17570
410	18513	17522
411	18558	17477
412	18606	17434
413	18655	17393
414	18700	17348
415	18743	17301
416	18786	17255
417	18832	17210
418	18878	17166
419	18922	17120
420	18968	17076
421	19012	17030
422	19056	16984
423	19101	16939
424	19147	16895
425	19191	16848
426	19237	16804
427	19281	16758
428	19326	16713
429	19370	16667
430	19416	16623
431	19458	16575
432	19503	16530
433	19547	16484
434	19590	16438
435	19635	16392
436	19684	16351
437	19730	16306
438	19778	16264
439	19822	16218
440	19867	16173
441	19911	16127
442	19957	16082
443	20002	16037
444	20045	15991
445	20094	15949
446	20137	15903
447	20181	15856
448	20225	15811
449	20269	15765
450	20314	15719
451	20359	15675
452	20402	15628
453	20447	15583
454	20491	15537
455	20536	15492
456	20581	15447
457	20626	15402
458	20669	15355
459	20711	15308
460	20756	15263
461	20799	15217
462	20844	15171
463	20891	15128
464	20939	15085
465	20984	15040
466	21027	14994
467	21072	14948
468	21116	14902
469	21161	14857
470	21205	14812
471	21251	14767
472	21294	14721
473	21339	14676
474	21383	14630
475	21426	14584
476	21472	14540
477	21517	14495
478	21562	14449
479	21605	14403
480	21650	14358
481	21694	14312
482	21740	14268
483	21788	14225
484	21833	14180
485	21877	14134
486	21921	14089
487	21968	14045
488	22015	14001
489	22061	13957
490	22107	13912
491	22150	13866
492	22195	13821
493	22240	13776
494	22284	13731
495	22330	13686
496	22375	13641
497	22419	13595
498	22464	13550
499	22507	13504
500	22550	13458
501	22594	13412
502	22642	13369
503	22687	13324
504	22730	13278
505	22774	13232
506	22818	13186
507	22863	13141
508	22907	13096
509	23002	13079
510	23050	13036
511	23100	12993
512	23148	12950
513	23192	12904
514	23237	12859
515	23281	12813
516	23324	12767
517	23370	12722
518	23416	12678
519	23459	12632
520	23503	12586
521	23549	12541
522	23595	12497
523	23640	12451
524	23683	12405
525	23727	12359
526	23772	12314
527	23815	12268
528	23862	12224
529	23910	12180
530	23955	12135
531	24000	12090
532	24044	12044
533	24088	11998
534	24133	11953
535	24179	11909
536	24226	11864
537	24270	11819
538	24316	11774
539	24361	11729
540	24408	11685
541	24454	11640
542	24497	11594
543	24540	11548
544	24585	11503
545	24629	11457
546	24673	11411
547	24717	11366
548	24763	11321
549	24808	11276
550	24853	11231
551	24897	11185
552	24942	11140
553	24986	11095
554	25031	11049
555	25074	11004
556	25121	10959
557	25166	10914
558	25209	10868
559	25254	10823
560	25301	10779
561	25351	10736
562	25394	10689
563	25438	10644
564	25481	10598
565	25525	10553
566	25572	10508
567	25615	10462
568	25659	10417
569	25703	10371
570	25747	10326
571	25790	10280
572	25834	10234
573	25879	10189
574	25924	10144
575	25971	10099
576	26016	10054
577	26060	10009
578	26105	9964
579	26150	9919
580	26194	9873
581	26238	9828
582	26283	9783
583	26327	9737
584	26372	9692
585	26424	9649
586	26470	9605
587	26514	9559
588	26557	9513
589	26601	9468
590	26645	9422
591	26687	9376
592	26732	9331
593	26777	9286
594	26821	9240
595	26864	9195
596	26909	9150
597	26956	9105
598	27000	9060
599	27045	9015
600	27090	8970
601	27136	8925
602	27181	8880
603	27229	8836
604	27274	8791
605	27318	8745
606	27363	8700
607	27409	8655
608	27454	8610
609	27503	8566
610	27550	8522
611	27595	8477
612	27639	8431
613	27685	8386
614	27729	8341
615	27774	8296
616	27817	8250
617	27860	8204
618	27905	8159
619	27949	8114
620	27995	8069
621	28040	8024
622	28086	7979
623	28130	7934
624	28173	7888
625	28218	7843
626	28262	7798
627	28307	7753
628	28351	7707
629	28395	7662
630	28441	7617
631	28485	7572
632	28528	7526
633	28577	7482
634	28623	7437
635	28671	7393
636	28717	7348
637	28760	7302
638	28804	7257
639	28850	7212
640	28894	7167
641	28939	7122
642	28984	7077
643	29026	7031
644	29072	6986
645	29116	6941
646	29159	6895
647	29205	6850
648	29251	6805
649	29297	6760
650	29341	6715
651	29384	6670
652	29429	6624
653	29471	6579
654	29514	6533
655	29557	6488
656	29603	6443
657	29649	6398
658	29695	6353
659	29742	6309
660	29790	6264
661	29835	6219
662	29879	6174
663	29924	6129
664	29969	6083
665	30013	6038
666	30057	5993
667	30102	5948
668	30149	5903
669	30192	5858
670	30236	5812
671	30282	5768
672	30327	5723
673	30371	5677
674	30415	5632
675	30459	5587
676	30505	5542
677	30548	5496
678	30593	5451
679	30636	5406
680	30680	5361
681	30723	5315
682	30765	5270
683	30813	5225
684	30863	5181
685	30910	5136
686	30955	5091
687	30998	5046
688	31043	5001
689	31086	4955
690	31130	4910
691	31174	4865
692	31220	4820
693	31263	4775
694	31310	4730
695	31356	4685
696	31403	4640
697	31448	4595
698	31492	4550
699	31536	4505
700	31580	4460
701	31626	4415
702	31671	4369
703	31719	4325
704	31764	4280
705	31808	4235
706	31853	4190
707	31901	4145
708	31947	4100
709	31993	4055
710	32037	4010
711	32080	3964
712	32126	3920
713	32170	3874
714	32214	3829
715	32260	3784
716	32304	3739
717	32349	3694
718	32396	3649
719	32437	3604
720	32481	3559
721	32526	3513
722	32573	3469
723	32617	3423
724	32661	3378
725	32704	3333
726	32748	3288
727	32794	3243
728	32837	3198
729	32881	3152
730	32927	3108
731	32972	3063
732	33018	3018
733	33067	2973
734	33112	2928
735	33155	2883
736	33199	2837
737	33242	2792
738	33286	2747
739	33334	2702
740	33380	2657
741	33426	2612
742	33471	2567
743	33516	2522
744	33560	2477
745	33603	2432
746	33647	2387
747	33690	2342
748	33734	2297
749	33782	2252
750	33829	2207
751	33872	2162
752	33919	2117
753	33964	2072
754	34008	2027
755	34052	1981
756	34097	1936
757	34145	1891
758	34191	1846
759	34239	1802
760	34283	1756
761	34328	1711
762	34373	1666
763	34421	1621
764	34464	1576
765	34509	1531
766	34553	1486
767	34599	1441
768	34645	1396
769	34688	1351
770	34733	1306
771	34776	1261
772	34819	1216
773	34863	1171
774	34909	1126
775	34954	1081
776	34997	1035
777	35043	990
778	35090	945
779	35135	900
780	35180	855
781	35227	810
782	35273	765
783	35317	720
784	35360	675
785	35408	630
786	35452	585
787	35496	540
788	35542	495
789	35587	450
790	35631	405
791	35675	360
792	35719	315
793	35763	270
794	35807	225
795	35851	180
796	35898	135
797	35946	90
798	35992	45
799	36035	0
