iter	RMSE
172	0.5900799362
173	0.5886080017
174	0.5879138095
175	0.5866581579
176	0.586042215
177	0.5849658027
178	0.5836458743
179	0.5821147194
180	0.5806719134
181	0.5800934691
182	0.5793310252
183	0.5781680337
184	0.5774762338
185	0.5756046368
186	0.5742850412
187	0.5728230817
188	0.5717471565
189	0.5706916571
190	0.5701090102
191	0.5693169555
192	0.5679748054
193	0.5665937156
194	0.565768633
195	0.5643065455
196	0.5636933897
197	0.5630564967
198	0.5618055585
199	0.5610726655
200	0.5593000312
201	0.5581867069
202	0.5576614603
203	0.5569070266
204	0.5561552368
205	0.5547132138
206	0.5533392352
207	0.5525517809
208	0.5516991023
209	0.5506239588
210	0.5498833078
211	0.5487087045
212	0.5471781922
213	0.5461234636
214	0.5444470686
215	0.5435719039
216	0.5422210246
217	0.5414156071
218	0.5405362856
219	0.5396391474
220	0.5385931334
221	0.5379266398
222	0.5370437634
223	0.535675559
224	0.5349635909
225	0.5339082249
226	0.5328384328
227	0.5320929251
228	0.5312534107
229	0.530230683
230	0.5293120079
231	0.5283644183
232	0.5275029136
233	0.5266743865
234	0.5252690917
235	0.5244745642
236	0.5237715452
237	0.5229586459
238	0.5221624128
239	0.5205942747
240	0.5198298552
241	0.5189313501
242	0.5183954224
243	0.5174480886
244	0.5164342311
245	0.5155122669
246	0.514530968
247	0.5138620476
248	0.5129090068
249	0.5124474385
250	0.5117356572
251	0.5107509907
252	0.5103063067
253	0.5097133481
254	0.508482753
255	0.5078389997
256	0.5073489063
257	0.5066917917
258	0.5061647958
259	0.5047799181
260	0.5035969961
261	0.5028828013
262	0.5015804862
263	0.5005250813
264	0.4999598127
265	0.4991519137
266	0.4983578097
267	0.4978124493
268	0.4971208806
269	0.4961546574
270	0.4952002802
271	0.4943176004
272	0.4936269659
273	0.4929278039
274	0.4920089212
275	0.4911642696
276	0.4906757371
277	0.490124391
278	0.4894577346
279	0.4880846768
280	0.4875288909
281	0.486979866
282	0.4860088691
283	0.4851919052
284	0.4840191155
285	0.4836527369
286	0.4825076416
287	0.4818145639
288	0.4806518682
289	0.4795352807
290	0.478939771
291	0.4783592028
292	0.4775566224
293	0.4766677424
294	0.4758390333
295	0.4751519086
296	0.4745624829
297	0.4740847003
298	0.472891044
299	0.4718834784
300	0.4708257463
301	0.4700762095
302	0.4692759224
303	0.4686252216
304	0.4677769566
305	0.4672627294
306	0.4665058986
307	0.4657429033
308	0.4648858688
309	0.464092377
310	0.4633052757
311	0.462810787
312	0.4618829491
313	0.4613632268
314	0.4605494461
315	0.4599945233
316	0.4594329832
317	0.458298974
318	0.4578414201
319	0.4568349968
320	0.4562798466
321	0.4554474227
322	0.4546768456
323	0.4543723914
324	0.4535210347
325	0.4530029089
326	0.4516698053
327	0.4509998695
328	0.4506534746
329	0.4504564891
330	0.4499022001
331	0.4490771667
332	0.4480371635
333	0.4472013608
334	0.4465529369
335	0.4458021258
336	0.4451938972
337	0.444697658
338	0.4438097597
339	0.4432509442
340	0.4425659855
341	0.4414762535
342	0.4410295936
343	0.4403185158
344	0.4392744694
345	0.4385455134
346	0.4379018411
347	0.4366902881
348	0.4358758686
349	0.4353450921
350	0.4342425006
351	0.4336770591
352	0.433340968
353	0.4323957273
354	0.4319677616
355	0.4310801596
356	0.4306229292
357	0.430217836
358	0.4297100615
359	0.4288257534
360	0.4281096288
361	0.4275555752
362	0.4269025026
363	0.4264281168
364	0.4259594265
365	0.4256919954
366	0.4248695327
367	0.4246532259
368	0.4242671416
369	0.4236175785
370	0.4228937533
371	0.4225458769
372	0.4216199867
373	0.4212233045
374	0.4204770826
375	0.4194625937
376	0.4185404143
377	0.4177542088
378	0.4171876126
379	0.416658766
380	0.4159136951
381	0.4151592143
382	0.4142015792
383	0.4133124446
384	0.4129747693
385	0.4121284797
386	0.4116372052
387	0.4106167638
388	0.4101709019
389	0.4094675414
390	0.4088326255
391	0.4079292931
392	0.4072529525
393	0.4062158756
394	0.4057475844
395	0.4047982385
396	0.4045624319
397	0.4040503144
398	0.4034029547
399	0.4023822804
400	0.4018698127
401	0.4013918445
402	0.4009728503
403	0.4002848516
404	0.3999459577
405	0.3997510584
406	0.39931698
407	0.3984703573
408	0.3975668996
409	0.3969650074
410	0.3964145382
411	0.3960722644
412	0.3953714967
413	0.3945554576
414	0.3935902848
415	0.3930039756
416	0.3919250176
417	0.3913545099
418	0.3901152687
419	0.3897817676
420	0.3887739926
421	0.3882597811
422	0.3871351693
423	0.386024109
424	0.3853445185
425	0.3849865445
426	0.3843436446
427	0.3838594403
428	0.3832617621
429	0.3823691256
430	0.3818498825
431	0.3811729265
432	0.3802505837
433	0.3797817198
434	0.379174931
435	0.3788687574
436	0.3783014857
437	0.3780459537
438	0.3768371623
439	0.3756601185
440	0.3747240307
441	0.3736619453
442	0.3729463789
443	0.3722043069
444	0.3716886064
445	0.3709345652
446	0.3707154293
447	0.3700272122
448	0.3692551364
449	0.3684298673
450	0.3677368835
451	0.3666788081
452	0.3657189524
453	0.3650438945
454	0.3646354844
455	0.3644562805
456	0.3641373127
457	0.3636532799
458	0.3631629303
459	0.3629286577
460	0.3624106248
461	0.3618800903
462	0.3609017441
463	0.3602539352
464	0.3595904312
465	0.3591799086
466	0.358516233
467	0.3580519087
468	0.3575257039
469	0.3569919535
470	0.3564860618
471	0.3557603704
472	0.3553449207
473	0.3543263064
474	0.3537147395
475	0.3529273068
476	0.3526686414
477	0.3518929331
478	0.3514987353
479	0.3510852238
480	0.3503556961
481	0.3497588883
482	0.3490604597
483	0.3482373649
484	0.3477792791
485	0.3473310716
486	0.3467505986
487	0.3459198572
488	0.3449682489
489	0.3444550014
490	0.3439568639
491	0.3431824686
492	0.3424624956
493	0.3419622799
494	0.3415170499
495	0.3412294016
496	0.3405453801
497	0.3400293815
498	0.3395374665
499	0.3391517662
500	0.3387296379
501	0.3384300137
502	0.3374812892
503	0.3366739261
504	0.3365868371
505	0.3360425694
506	0.3354844912
507	0.3347900241
508	0.3338125523
509	0.3334817467
510	0.3326819354
511	0.331801598
512	0.3312312153
513	0.330556808
514	0.3298671812
515	0.3293472519
516	0.328818843
517	0.3282284449
518	0.3276776765
519	0.3270982428
520	0.3268781093
521	0.3265140302
522	0.3261713642
523	0.3255081748
524	0.3244878365
525	0.3238519573
526	0.3234821951
527	0.3225944738
528	0.3224342016
529	0.3221977925
530	0.3216081432
531	0.3212518408
532	0.320409681
533	0.3201247816
534	0.3195115539
535	0.3190360261
536	0.3182840962
537	0.3178363026
538	0.317399484
539	0.316995144
540	0.3165020127
541	0.31581882
542	0.3157028534
543	0.3151245391
544	0.3144508334
545	0.3142544462
546	0.3134171184
547	0.3125970273
548	0.311700164
549	0.3109821571
550	0.3102336067
551	0.3095041044
552	0.309139736
553	0.308505613
554	0.3080164914
555	0.3073142908
556	0.3066889772
557	0.3061966813
558	0.3056165695
559	0.3054566972
560	0.3049204332
561	0.3044178192
562	0.3038423544
563	0.3029763822
564	0.302564819
565	0.3022413799
566	0.3017822767
567	0.3014164295
568	0.3009478961
569	0.3003659732
570	0.2997841292
571	0.2994515721
572	0.2986852335
573	0.2983192695
574	0.2977745261
575	0.2972582606
576	0.2967649714
577	0.2962264289
578	0.2955786295
579	0.2953911845
580	0.2949361405
581	0.2941997406
582	0.2936103188
583	0.2929596309
584	0.2924564349
585	0.292019069
586	0.2910969169
587	0.2909066753
588	0.2902062565
589	0.2897851029
590	0.2892797355
591	0.2889825142
592	0.2886919026
593	0.2883257374
594	0.2879429981
595	0.2873772323
596	0.2870629689
597	0.2865532029
598	0.2859626492
599	0.2852881199
600	0.2846984287
601	0.2840250066
602	0.2835969708
603	0.2829187939
604	0.2823393551
605	0.2819407383
606	0.2816660704
607	0.2811072641
608	0.2806647532
609	0.2800536154
610	0.2795280129
611	0.2790904043
612	0.2787768928
613	0.2783461798
614	0.2777411211
615	0.2770633268
616	0.2767133984
617	0.2763601967
618	0.2760808017
619	0.2755166724
620	0.2752217045
621	0.2744706877
622	0.2740623208
623	0.2738237155
624	0.2733392368
625	0.2727450912
626	0.2722108901
627	0.2717533548
628	0.2714400333
629	0.2710329096
630	0.270693463
631	0.2703847294
632	0.2699127968
633	0.2694484646
634	0.2687509108
635	0.2680022356
636	0.2677072942
637	0.2670894019
638	0.2668047547
639	0.2663129729
640	0.265801515
641	0.2650679499
642	0.2646290957
643	0.2641838866
644	0.2638686858
645	0.2635305484
646	0.2631690329
647	0.2627677555
648	0.2621677824
649	0.2614520891
650	0.2607799699
651	0.2601600961
652	0.2598411559
653	0.2590239996
654	0.2585576795
655	0.2583056782
656	0.2579529161
657	0.2574478186
658	0.2568121342
659	0.2565365167
660	0.2557180944
661	0.2554494716
662	0.2550450429
663	0.2547156349
664	0.2544371982
665	0.2540047659
666	0.2535968864
667	0.2530943987
668	0.2528989333
669	0.2525486068
670	0.252030109
671	0.25166185
672	0.2511975828
673	0.2510236746
674	0.2505037123
675	0.2502120502
676	0.2498282579
677	0.2492573957
678	0.2486894846
679	0.2483744626
680	0.2476515667
681	0.2471206518
682	0.2469509575
683	0.2464404642
684	0.2459100351
685	0.2453333958
686	0.2451260586
687	0.2448864276
688	0.2442203182
689	0.2438988084
690	0.243336455
691	0.243201394
692	0.2427830065
693	0.2424510951
694	0.2422803129
695	0.2418328662
696	0.2414141875
697	0.2411219083
698	0.2404396402
699	0.2400292512
700	0.239698363
701	0.2390498834
702	0.2385129985
703	0.2379088748
704	0.2373371587
705	0.2369219977
706	0.23633515
707	0.2359195906
708	0.2356201682
709	0.2354373618
710	0.2351657833
711	0.2346601126
712	0.2339740689
713	0.2333926195
714	0.232981939
715	0.2327444462
716	0.2322015608
717	0.2318065765
718	0.2312859009
719	0.230953068
720	0.2305885101
721	0.2302793383
722	0.2299517094
723	0.229617009
724	0.2292878317
725	0.2291092589
726	0.2289523692
727	0.2288355701
728	0.2286823938
729	0.2281433979
730	0.2280282363
731	0.227776792
732	0.2274570787
733	0.2268796114
734	0.226535079
735	0.2261434352
736	0.2258027708
737	0.2256078682
738	0.2252783223
739	0.2250568394
740	0.2247144864
741	0.224263831
742	0.22403655
743	0.2234278951
744	0.222795256
745	0.2222504187
746	0.2215814085
747	0.2212966907
748	0.2208327285
749	0.2204736114
750	0.2202618752
751	0.2197467849
752	0.2192274162
753	0.2186684278
754	0.218341059
755	0.2179650777
756	0.2175462111
757	0.2172570377
758	0.2171447183
759	0.217031618
760	0.2163543432
761	0.2162144269
762	0.2159126765
763	0.2155848662
764	0.2152220876
765	0.2149189066
766	0.2144620337
767	0.2140975357
768	0.2137447917
769	0.2135132371
770	0.213087346
771	0.2128099834
772	0.2124444587
773	0.212020952
774	0.2117350379
775	0.2111186045
776	0.2109517412
777	0.2105396233
778	0.2100718661
779	0.2098870304
780	0.2092863899
781	0.2088386538
782	0.2085665531
783	0.208359669
784	0.2081155166
785	0.2079660768
786	0.2079104912
787	0.2075939621
788	0.2074213503
789	0.2071022938
790	0.2068411828
791	0.2064943584
792	0.2060122395
793	0.2057420903
794	0.2056705853
795	0.2054839564
796	0.2049763856
797	0.2047076328
798	0.2040706139
799	0.2037587319
